content,confidence,start_time,end_time,type,feed
twenty,1.0,615.026,615.426,pronunciation,201811081001-444704-22956_
seven,1.0,615.426,615.706,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
eight,0.5087,615.706,615.846,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
eleven,0.9797,616.416,616.656,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
CHEROKEE,0.4243,619.276,619.526,pronunciation,201811081001-444704-22956_
OROVILLE,0.9586,657.016,657.346,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Ready,0.8625,661.196,661.426,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Build,0.4037,684.346,684.596,pronunciation,201811081001-444704-22956_
a,0.2102,684.596,684.626,pronunciation,201811081001-444704-22956_
fire,0.4965,684.806,685.296,pronunciation,201811081001-444704-22956_
in,0.82,685.296,685.366,pronunciation,201811081001-444704-22956_
the,0.8268,685.366,685.446,pronunciation,201811081001-444704-22956_
backyard,0.8307,685.456,686.056,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Develop,0.8048,715.556,716.106,pronunciation,201811081001-444704-22956_
from,0.9192,716.116,716.256,pronunciation,201811081001-444704-22956_
the,0.885,716.256,716.366,pronunciation,201811081001-444704-22956_
absolute,0.9022,716.376,716.886,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Thank,0.9817,726.266,726.466,pronunciation,201811081001-444704-22956_
you,0.982,726.466,726.556,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
everyone,0.9779,727.026,727.326,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Thirty,1.0,757.308,757.618,pronunciation,201811081001-444704-22956_
one,0.9994,757.618,757.828,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Can,0.6409,764.598,764.878,pronunciation,201811081001-444704-22956_
everyone,0.8766,764.878,765.258,pronunciation,201811081001-444704-22956_
available,1.0,765.258,765.668,pronunciation,201811081001-444704-22956_
on,0.6046,765.678,765.818,pronunciation,201811081001-444704-22956_
apple,0.7943,765.818,766.118,pronunciation,201811081001-444704-22956_
for,0.6017,766.128,766.188,pronunciation,201811081001-444704-22956_
you,0.9627,766.198,766.458,pronunciation,201811081001-444704-22956_
?,,nan,nan,punctuation,201811081001-444704-22956_
EVACUATE,1.0,774.388,774.938,pronunciation,201811081001-444704-22956_
for,0.8317,775.118,775.368,pronunciation,201811081001-444704-22956_
one,0.9888,775.368,775.528,pronunciation,201811081001-444704-22956_
way,0.9972,775.528,775.668,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Traffic,0.9864,775.678,775.988,pronunciation,201811081001-444704-22956_
thirty,0.9997,788.248,788.548,pronunciation,201811081001-444704-22956_
one,0.9996,788.548,788.838,pronunciation,201811081001-444704-22956_
Campus,0.6327,792.828,793.298,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
What,0.4117,800.328,800.478,pronunciation,201811081001-444704-22956_
?,,nan,nan,punctuation,201811081001-444704-22956_
OROVILLE,0.9979,804.358,804.898,pronunciation,201811081001-444704-22956_
?,,nan,nan,punctuation,201811081001-444704-22956_
For,0.8861,804.978,805.378,pronunciation,201811081001-444704-22956_
twenty,1.0,805.378,805.668,pronunciation,201811081001-444704-22956_
five,1.0,805.668,805.908,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
forty,1.0,805.918,806.168,pronunciation,201811081001-444704-22956_
four,0.7786,806.168,806.528,pronunciation,201811081001-444704-22956_
years,0.9434,806.738,807.028,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Yeah,0.7715,836.428,836.658,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Ninety,1.0,911.184,911.464,pronunciation,201811081001-444704-22956_
nine,1.0,911.464,911.924,pronunciation,201811081001-444704-22956_
down,0.947,912.054,912.224,pronunciation,201811081001-444704-22956_
the,0.9453,912.224,912.314,pronunciation,201811081001-444704-22956_
line,0.998,912.314,912.704,pronunciation,201811081001-444704-22956_
for,0.9055,913.294,913.484,pronunciation,201811081001-444704-22956_
tonight,0.8916,913.484,913.804,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Dylan,0.3554,941.794,942.114,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
have,0.1311,942.124,942.294,pronunciation,201811081001-444704-22956_
twenty,0.8185,942.304,942.524,pronunciation,201811081001-444704-22956_
three,1.0,942.634,943.484,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
You,0.5662,944.554,944.614,pronunciation,201811081001-444704-22956_
get,1.0,944.624,944.864,pronunciation,201811081001-444704-22956_
a,1.0,944.864,944.914,pronunciation,201811081001-444704-22956_
location,1.0,944.914,945.344,pronunciation,201811081001-444704-22956_
that,0.9994,949.454,949.754,pronunciation,201811081001-444704-22956_
place,0.9923,949.774,950.034,pronunciation,201811081001-444704-22956_
PARADISE,0.9531,952.104,952.374,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
What,0.9962,954.164,954.414,pronunciation,201811081001-444704-22956_
?,,nan,nan,punctuation,201811081001-444704-22956_
Throughout,0.1383,982.774,983.014,pronunciation,201811081001-444704-22956_
areas,0.9021,983.014,983.314,pronunciation,201811081001-444704-22956_
like,0.8589,984.734,984.924,pronunciation,201811081001-444704-22956_
makes,0.4562,984.934,985.164,pronunciation,201811081001-444704-22956_
evacuations,0.9538,985.214,986.114,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Supporters,0.9928,986.124,986.694,pronunciation,201811081001-444704-22956_
for,1.0,987.044,987.374,pronunciation,201811081001-444704-22956_
all,1.0,987.434,987.694,pronunciation,201811081001-444704-22956_
of,1.0,987.694,987.814,pronunciation,201811081001-444704-22956_
them,0.9976,987.824,988.014,pronunciation,201811081001-444704-22956_
throws,0.8781,988.014,988.414,pronunciation,201811081001-444704-22956_
ponderosa,0.8456,988.854,989.334,pronunciation,201811081001-444704-22956_
school,0.5985,989.474,989.834,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
We're,0.9463,993.504,993.604,pronunciation,201811081001-444704-22956_
going,0.6878,993.604,993.724,pronunciation,201811081001-444704-22956_
to,0.6747,993.724,993.784,pronunciation,201811081001-444704-22956_
start,0.952,993.824,994.034,pronunciation,201811081001-444704-22956_
EVACUATE,0.9298,994.394,994.844,pronunciation,201811081001-444704-22956_
quarters,0.7277,995.044,995.464,pronunciation,201811081001-444704-22956_
just,0.7636,997.194,997.474,pronunciation,201811081001-444704-22956_
north,0.7505,997.504,997.894,pronunciation,201811081001-444704-22956_
of,0.4767,997.904,997.974,pronunciation,201811081001-444704-22956_
PHRASE,0.5651,999.394,999.594,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
NORD,0.9794,1020.546,1020.796,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
EVACUATE,1.0,1024.116,1024.636,pronunciation,201811081001-444704-22956_
NORD,0.9593,1024.666,1024.976,pronunciation,201811081001-444704-22956_
already,0.9998,1025.146,1025.416,pronunciation,201811081001-444704-22956_
in,0.9647,1025.416,1025.486,pronunciation,201811081001-444704-22956_
place,0.9699,1025.496,1025.766,pronunciation,201811081001-444704-22956_
Everything,0.9983,1030.446,1030.846,pronunciation,201811081001-444704-22956_
all,1.0,1032.936,1033.146,pronunciation,201811081001-444704-22956_
the,1.0,1033.146,1033.226,pronunciation,201811081001-444704-22956_
way,1.0,1033.226,1033.336,pronunciation,201811081001-444704-22956_
down,1.0,1033.336,1033.576,pronunciation,201811081001-444704-22956_
to,0.838,1033.576,1033.646,pronunciation,201811081001-444704-22956_
the,0.9997,1033.656,1033.766,pronunciation,201811081001-444704-22956_
canyon,0.9646,1033.776,1034.196,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
And,0.5238,1034.906,1034.996,pronunciation,201811081001-444704-22956_
also,0.9993,1034.996,1035.236,pronunciation,201811081001-444704-22956_
we're,1.0,1035.246,1035.356,pronunciation,201811081001-444704-22956_
gonna,0.8657,1035.356,1035.496,pronunciation,201811081001-444704-22956_
need,0.9996,1035.496,1035.656,pronunciation,201811081001-444704-22956_
to,0.9979,1035.656,1035.716,pronunciation,201811081001-444704-22956_
make,0.8869,1035.726,1035.906,pronunciation,201811081001-444704-22956_
note,0.8909,1035.906,1036.046,pronunciation,201811081001-444704-22956_
of,0.871,1036.046,1036.106,pronunciation,201811081001-444704-22956_
the,0.6263,1036.116,1036.226,pronunciation,201811081001-444704-22956_
Ponderosa,0.3634,1037.286,1037.716,pronunciation,201811081001-444704-22956_
Elementary,0.6252,1037.716,1038.166,pronunciation,201811081001-444704-22956_
School,0.4753,1038.176,1038.496,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
EVACUATE,0.9987,1039.226,1039.846,pronunciation,201811081001-444704-22956_
that,0.1573,1040.406,1040.536,pronunciation,201811081001-444704-22956_
I,0.5845,1040.536,1040.626,pronunciation,201811081001-444704-22956_
like,0.9857,1040.636,1040.946,pronunciation,201811081001-444704-22956_
twenty,1.0,1054.636,1055.126,pronunciation,201811081001-444704-22956_
one,1.0,1055.126,1055.266,pronunciation,201811081001-444704-22956_
sixteen,0.8816,1055.266,1055.606,pronunciation,201811081001-444704-22956_
OROVILLE,0.9992,1055.606,1055.936,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
you,0.8887,1055.976,1056.166,pronunciation,201811081001-444704-22956_
come,0.9999,1056.166,1056.306,pronunciation,201811081001-444704-22956_
up,0.7891,1056.306,1056.486,pronunciation,201811081001-444704-22956_
Support,0.8595,1056.576,1057.236,pronunciation,201811081001-444704-22956_
to,0.9664,1057.316,1057.726,pronunciation,201811081001-444704-22956_
camp,0.9616,1057.836,1058.176,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
I,0.7731,1058.176,1058.306,pronunciation,201811081001-444704-22956_
see,0.6865,1058.346,1058.606,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
For,0.9931,1058.766,1058.876,pronunciation,201811081001-444704-22956_
that,0.9998,1058.876,1059.036,pronunciation,201811081001-444704-22956_
report,0.7608,1059.036,1059.456,pronunciation,201811081001-444704-22956_
one,0.9971,1061.476,1061.726,pronunciation,201811081001-444704-22956_
incident,0.9898,1061.726,1062.146,pronunciation,201811081001-444704-22956_
forty,1.0,1084.846,1085.356,pronunciation,201811081001-444704-22956_
five,1.0,1085.356,1085.766,pronunciation,201811081001-444704-22956_
twenty,0.9841,1086.456,1086.656,pronunciation,201811081001-444704-22956_
three,0.9814,1086.946,1087.196,pronunciation,201811081001-444704-22956_
breaking,0.5131,1087.966,1088.316,pronunciation,201811081001-444704-22956_
forty,0.9999,1088.356,1088.656,pronunciation,201811081001-444704-22956_
five,0.999,1088.656,1088.886,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Or,0.5658,1088.886,1089.026,pronunciation,201811081001-444704-22956_
don't,0.7622,1089.026,1089.196,pronunciation,201811081001-444704-22956_
go,0.8237,1089.196,1089.306,pronunciation,201811081001-444704-22956_
ahead,0.9073,1089.306,1089.466,pronunciation,201811081001-444704-22956_
with,1.0,1089.466,1089.566,pronunciation,201811081001-444704-22956_
traffic,0.9925,1089.576,1089.936,pronunciation,201811081001-444704-22956_
College,0.4508,1093.126,1093.426,pronunciation,201811081001-444704-22956_
God,0.5537,1148.556,1148.846,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
he,0.3775,1148.846,1148.946,pronunciation,201811081001-444704-22956_
would,0.5829,1148.946,1149.086,pronunciation,201811081001-444704-22956_
have,0.9045,1149.096,1149.306,pronunciation,201811081001-444704-22956_
fired,0.4864,1149.316,1149.656,pronunciation,201811081001-444704-22956_
six,0.6058,1149.916,1150.186,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Also,0.9945,1150.206,1150.856,pronunciation,201811081001-444704-22956_
twenty,1.0,1159.112,1159.452,pronunciation,201811081001-444704-22956_
five,1.0,1159.452,1159.702,pronunciation,201811081001-444704-22956_
years,0.9898,1159.952,1160.172,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Very,0.4259,1162.942,1163.132,pronunciation,201811081001-444704-22956_
funny,0.4378,1163.142,1163.342,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
What's,0.9661,1345.251,1345.421,pronunciation,201811081001-444704-22956_
going,1.0,1345.431,1345.701,pronunciation,201811081001-444704-22956_
on,1.0,1345.701,1345.861,pronunciation,201811081001-444704-22956_
over,1.0,1345.861,1346.091,pronunciation,201811081001-444704-22956_
here,1.0,1346.091,1346.421,pronunciation,201811081001-444704-22956_
?,,nan,nan,punctuation,201811081001-444704-22956_
We,1.0,1346.421,1346.571,pronunciation,201811081001-444704-22956_
have,1.0,1346.571,1346.841,pronunciation,201811081001-444704-22956_
the,0.9208,1349.301,1349.511,pronunciation,201811081001-444704-22956_
adult,0.9857,1349.521,1349.961,pronunciation,201811081001-444704-22956_
is,0.964,1349.961,1350.141,pronunciation,201811081001-444704-22956_
older,0.5178,1350.231,1350.621,pronunciation,201811081001-444704-22956_
shelters,0.9772,1350.671,1351.181,pronunciation,201811081001-444704-22956_
protect,0.9972,1351.671,1352.201,pronunciation,201811081001-444704-22956_
President,0.8145,1352.821,1353.301,pronunciation,201811081001-444704-22956_
inside,1.0,1353.361,1353.781,pronunciation,201811081001-444704-22956_
the,0.5993,1353.781,1353.851,pronunciation,201811081001-444704-22956_
hospital,0.6762,1353.851,1354.281,pronunciation,201811081001-444704-22956_
area,0.9998,1354.281,1354.681,pronunciation,201811081001-444704-22956_
The,0.7113,1357.751,1357.861,pronunciation,201811081001-444704-22956_
power,0.9992,1357.871,1358.381,pronunciation,201811081001-444704-22956_
cut,0.8546,1358.821,1359.001,pronunciation,201811081001-444704-22956_
off,0.9635,1359.001,1359.331,pronunciation,201811081001-444704-22956_
CONCOW,0.9663,1359.401,1359.931,pronunciation,201811081001-444704-22956_
area,0.7331,1359.951,1360.281,pronunciation,201811081001-444704-22956_
We,0.8296,1360.281,1360.371,pronunciation,201811081001-444704-22956_
have,0.909,1360.371,1360.531,pronunciation,201811081001-444704-22956_
and,0.9775,1377.181,1377.351,pronunciation,201811081001-444704-22956_
I,0.9946,1377.351,1377.411,pronunciation,201811081001-444704-22956_
have,1.0,1377.411,1377.881,pronunciation,201811081001-444704-22956_
forty,1.0,1379.121,1379.461,pronunciation,201811081001-444704-22956_
for,0.948,1379.461,1379.741,pronunciation,201811081001-444704-22956_
out,1.0,1379.741,1379.931,pronunciation,201811081001-444704-22956_
here,1.0,1379.941,1380.211,pronunciation,201811081001-444704-22956_
with,1.0,1380.431,1381.271,pronunciation,201811081001-444704-22956_
FIRE,0.9654,1381.281,1381.621,pronunciation,201811081001-444704-22956_
with,0.9994,1382.731,1384.431,pronunciation,201811081001-444704-22956_
twenty,0.9157,1386.371,1386.661,pronunciation,201811081001-444704-22956_
one,0.9684,1386.661,1386.871,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Wear,0.7904,1409.131,1410.011,pronunciation,201811081001-444704-22956_
something,0.9972,1410.021,1410.331,pronunciation,201811081001-444704-22956_
with,0.3942,1410.541,1410.691,pronunciation,201811081001-444704-22956_
a,0.9924,1411.461,1411.981,pronunciation,201811081001-444704-22956_
club,0.4439,1412.041,1412.291,pronunciation,201811081001-444704-22956_
like,0.6545,1465.737,1466.007,pronunciation,201811081001-444704-22956_
that,0.7456,1480.237,1480.517,pronunciation,201811081001-444704-22956_
one,0.5396,1481.087,1481.227,pronunciation,201811081001-444704-22956_
before,0.9753,1481.357,1481.887,pronunciation,201811081001-444704-22956_
