text,speaker_start,speaker_end,speaker_length,speaker,sentence,word_confidence,avg_confidence,min_conf,feed,location,state,feed_name,department,INTPTLON,INTPTLAT,ID_PLACES,text_clean,contains_fire,contains_evac,start_time,end_time
pointless . ,51.14,51.25,0.10999999999999943,spk_1,1.0,"[0.3735, nan]",0.3735,0.3735,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],pointless,0,0,2018-11-08 07:01:51-08:00,2018-11-08 07:01:51-08:00
The ,51.25,53.44,2.1899999999999977,spk_3,2.0,[0.9635],0.9635,0.9635,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],the,0,0,2018-11-08 07:01:51-08:00,2018-11-08 07:01:53-08:00
ten a contact has been advised to go back to their city twelve twenty five You have public transport has been completed . ,1277.711,1277.861,0.15000000000009095,spk_0,45.0,"[0.6656, 0.6918, 1.0, 0.9914, 1.0, 0.8965, 0.9997, 1.0, 0.7381, 0.6095, 0.6671, 0.7221, 1.0, 1.0, 1.0, 0.9966, 1.0, 0.27, 0.9672, 0.2887, 0.2698, 0.4595, nan]",0.7833454545454543,0.2698,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],ten a contact has been advised to go back to their city twelve twenty five you have public transport has been completed,0,0,2018-11-08 07:02:17-08:00,2018-11-08 07:02:17-08:00
"left thirty eleven , the one you're with and thirty seven having power line has been located on a road . I've Sam thirty seven road area . You have anyone for them to make ? They responded . NORD OROVILLE . Water Water for forty five OROVILLE ENGINE twenty one sixty one . What's the project is still on the augmentation request of North is putting together a possible response as well . Copying again access is gonna be an issue . So we get scouted out . Get one ENGINE . Very aware of that . Let's have twenty one , eighty six , twenty one , sixty seven Respond BERRY-CREEK twenty six and twenty one . Sixty one of the old area is just EVACUATE for breaking sixty one on FIRE one Cameron's hustled a second FIRE an area of road . Just CONCOW , ",214.245,214.465,0.21999999999999886,spk_0,30.0,"[0.1988, 0.9256, 0.4806, nan, 0.2506, 0.9984, 0.837, 0.9663, 0.9716, 0.9699, 0.992, 0.5389, 0.6502, 0.5904, 0.2147, 0.0801, 1.0, 1.0, 0.2106, 0.7786, nan, 0.468, 0.1178, 0.8088, 0.9526, 0.9975, 0.9714, nan, 0.9998, 1.0, 0.6616, 0.9251, 0.9493, 0.721, 0.6914, nan, 0.5719, 0.3284, nan, 0.8697, 0.9978, nan, 0.4574, 0.9773, 0.7485, 1.0, 1.0, 0.9258, 1.0, 1.0, 0.9952, 0.3181, 0.6916, nan, 0.4761, 0.9894, 0.9792, 0.9952, 1.0, 0.9824, 1.0, 0.4874, 0.4873, 0.4113, 0.8266, 0.9946, 0.9714, 1.0, 0.9114, 1.0, 0.8894, 0.9545, 0.9975, nan, 0.3867, 1.0, 0.9876, 0.7075, 0.7421, 1.0, 1.0, 1.0, nan, 1.0, 0.9275, 1.0, 0.9928, 1.0, nan, 1.0, 0.9863, 0.6442, nan, 1.0, 0.2913, 0.284, 0.8742, nan, 0.9441, 0.9991, 1.0, 0.9999, nan, 0.9944, 0.9881, nan, 1.0, 0.9807, nan, 0.9918, 1.0, 0.4956, 0.4861, 0.344, 0.8319, 0.3574, 1.0, 0.9956, nan, 0.5069, 0.5737, 0.5697, 0.3226, 0.2173, 0.7143, 0.6528, 0.9485, 0.9807, 0.6388, 0.843, 1.0, 0.9884, 0.5747, 0.916, 0.2988, 0.7465, 0.5343, 1.0, 0.9896, 0.7386, 0.32, 0.9723, 0.7461, 0.8663, nan, 1.0, 1.0, nan]",0.7849753846153845,0.0801,201811080901-584135-22956_,"['OROVILLE', 'BERRY CREEK', 'CONCOW', 'NORD']",CA,Chico_Paradise_Fire__CalFire,FIRE,"[-121.5600132, -121.4053968, -121.513493, -121.9549057]","[39.4954747, 39.6315367, 39.7703164, 39.7737878]","['OROVILLE', 'BERRY CREEK', 'CONCOW', 'NORD']",left thirty eleven the one you re with and thirty seven having power line has been located on a road i ve sam thirty seven road area you have anyone for them to make they responded nord oroville water water for forty five oroville engine twenty one sixty one what s the project is still on the augmentation request of north is putting together a possible response as well copying again access is gonna be an issue so we get scouted out get one engine very aware of that let s have twenty one eighty six twenty one sixty seven respond berry creek twenty six and twenty one sixty one of the old area is just evacuate for breaking sixty one on fire one cameron s hustled a second fire an area of road just concow,1,1,2018-11-08 07:04:34-08:00,2018-11-08 07:04:34-08:00
Take ,214.465,220.455,5.990000000000009,spk_3,31.0,[0.6213],0.6213,0.6213,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],take,0,0,2018-11-08 07:04:34-08:00,2018-11-08 07:04:40-08:00
"off your left . Keep twenty one eighty six , twenty one , sixty seven Upstairs and have fun responded Refrozen ! CONCOW ! L wrote that out . And just twenty one one OROVILLE . You confirming having twenty one eighty six Respond DURHAM Rose ! Was there anything further ? Twenty . Twenty one ? Fifty seven . That would be the immediate threat to the community . Wake someone up PHRASE . Twenty one eighty six , ninety one sixty seven . DANGER , Sign that report from road for a second star ",323.128,323.398,0.27000000000003865,spk_0,41.0,"[0.5102, 0.2649, 0.7269, nan, 0.6277, 1.0, 0.8791, 0.7638, 0.9918, nan, 1.0, 0.9847, nan, 0.8881, 0.9995, 0.9708, 1.0, 0.9166, 0.9096, 0.6492, 0.8386, nan, 1.0, nan, 0.408, 0.4428, 0.9997, 1.0, nan, 0.9545, 0.5212, 1.0, 0.9973, 0.7941, 0.9272, nan, 0.8623, 0.975, 0.2617, 1.0, 0.991, 1.0, 0.9531, 0.9756, 0.4047, 0.944, nan, 1.0, 1.0, 1.0, 0.7314, nan, 0.8031, nan, 0.9993, 0.9802, nan, 0.6473, 0.7928, nan, 1.0, 0.9709, 0.9861, 1.0, 1.0, 1.0, 0.5216, 0.9276, 0.9568, nan, 0.1214, 0.0837, 0.2088, 0.5948, nan, 0.9651, 0.8878, 0.7734, 0.9497, nan, 0.2115, 0.8852, 0.5569, 0.7196, nan, 0.627, nan, 0.185, 0.2291, 0.4524, 0.6463, 0.8608, 1.0, 0.9952, 0.9729, 0.6056]",0.7871265822784809,0.0837,201811080901-584135-22956_,"['OROVILLE', 'DURHAM', 'CONCOW']",CA,Chico_Paradise_Fire__CalFire,FIRE,"[-121.5600132, -121.7907705, -121.513493]","[39.4954747, 39.6293576, 39.7703164]","['OROVILLE', 'DURHAM', 'CONCOW']",off your left keep twenty one eighty six twenty one sixty seven upstairs and have fun responded refrozen concow l wrote that out and just twenty one one oroville you confirming having twenty one eighty six respond durham rose was there anything further twenty twenty one fifty seven that would be the immediate threat to the community wake someone up phrase twenty one eighty six ninety one sixty seven danger sign that report from road for a second star,0,0,2018-11-08 07:06:23-08:00,2018-11-08 07:06:23-08:00
forty ,323.398,326.898,3.5,spk_3,42.0,[0.9466],0.9466,0.9466,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],forty,0,0,2018-11-08 07:06:23-08:00,2018-11-08 07:06:26-08:00
"Oh , ",1579.321,1580.761,1.4400000000000546,spk_5,46.0,"[0.2185, nan]",0.2185,0.2185,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],oh,0,0,2018-11-08 07:07:19-08:00,2018-11-08 07:07:20-08:00
"two have a little time ENGINE condition , one ENGINE . Anyone coming ? Thirty three hundred Entry into its structure at one five five twenty Lightman called ",569.426,569.806,0.37999999999999545,spk_4,16.0,"[0.9918, 1.0, 1.0, 0.9123, 0.9934, 0.702, 0.7811, nan, 0.8807, 0.7216, nan, 0.948, 0.9585, nan, 0.7632, 1.0, 0.9972, 0.8549, 0.9999, 0.4938, 1.0, 0.8485, 0.5146, 0.9288, 0.7519, 0.5061, 0.4612, 0.9015]",0.83644,0.4612,201811080858-659667-24574_,[],CA,Oroville_Fire,FIRE,[],[],[],two have a little time engine condition one engine anyone coming thirty three hundred entry into its structure at one five five twenty lightman called,0,0,2018-11-08 07:07:29-08:00,2018-11-08 07:07:29-08:00
Throw that ,569.816,572.546,2.730000000000018,spk_1,17.0,"[0.3309, 0.2936]",0.31225,0.2936,201811080858-659667-24574_,[],CA,Oroville_Fire,FIRE,[],[],[],throw that,0,0,2018-11-08 07:07:29-08:00,2018-11-08 07:07:32-08:00
"Orville Medics Medically four seven , five , three Lincoln Boulevard . ",1607.811,1607.941,0.13000000000010914,spk_3,48.0,"[0.901, 0.8698, 0.7946, 0.9948, 1.0, nan, 1.0, nan, 1.0, 0.9997, 0.9999, nan]",0.9510888888888888,0.7946,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],orville medics medically four seven five three lincoln boulevard,0,0,2018-11-08 07:07:47-08:00,2018-11-08 07:07:47-08:00
Yeah . ,1612.411,1614.691,2.2799999999999727,spk_5,49.0,"[0.589, nan]",0.589,0.589,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],yeah,0,0,2018-11-08 07:07:52-08:00,2018-11-08 07:07:54-08:00
one six seven Come up Landing mountain . You get little kids Walk in the road in a one on one side . Zero five twenty five Can anyone something ? Thirty three thousand Tradition trio to a structure at once . Five zero five five point timer across the Columbine Road and find a way ,427.332,427.652,0.3199999999999932,spk_0,48.0,"[0.9949, 0.4421, 0.6095, 1.0, 1.0, 0.8032, 0.6485, nan, 0.7248, 0.9165, 0.9999, 0.8334, 0.5939, 0.6317, 1.0, 0.5254, 0.5937, 0.6899, 0.9433, 0.758, 0.9928, 0.9954, nan, 0.2512, 0.3389, 0.3845, 0.2875, 0.6288, 0.9648, 0.9681, nan, 1.0, 1.0, 0.7921, 0.8439, 0.1743, 0.8458, 1.0, 1.0, 0.8496, 0.8478, nan, 0.472, 0.909, 1.0, 1.0, 0.9271, 0.8771, 0.9843, 0.3881, 0.9936, 0.8726, 0.7497, 0.6856, 0.6172, 0.9956]",0.7758865384615384,0.1743,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],one six seven come up landing mountain you get little kids walk in the road in a one on one side zero five twenty five can anyone something thirty three thousand tradition trio to a structure at once five zero five five point timer across the columbine road and find a way,0,0,2018-11-08 07:08:07-08:00,2018-11-08 07:08:07-08:00
"OROVILLE , ",439.962,445.062,5.100000000000023,spk_3,49.0,"[0.5274, nan]",0.5274,0.5274,201811080901-584135-22956_,['OROVILLE'],CA,Chico_Paradise_Fire__CalFire,FIRE,[-121.5600132],[39.4954747],['OROVILLE'],oroville,0,0,2018-11-08 07:08:19-08:00,2018-11-08 07:08:25-08:00
Industry Ordell Medics Medical aid seven five three Lincoln Boulevard Cross male or female ? No . ,1731.779,1731.879,0.09999999999990905,spk_1,53.0,"[0.8965, 0.8605, 0.923, 0.9992, 0.9904, 0.9913, 1.0, 1.0, 1.0, 1.0, 0.4712, 0.4241, 0.5247, 0.4228, nan, 0.2151, nan]",0.7812533333333332,0.2151,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],industry ordell medics medical aid seven five three lincoln boulevard cross male or female no,0,0,2018-11-08 07:09:51-08:00,2018-11-08 07:09:51-08:00
six ,580.272,580.732,0.4599999999999227,spk_3,75.0,[0.849],0.849,0.849,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],six,0,0,2018-11-08 07:10:40-08:00,2018-11-08 07:10:40-08:00
"OROVILLE ENGINE can't afford in eighty one just takes that second call . We have a property owner . I live across the street . They will come back after and thirty three years early about numbers one five zero five five fifty , fifty five . Anyone cancels what ? Forty four , thirty ? Forty , forty five . Help ! OROVILLE , you're coming with us . NORD came out of the Katya photo to get a better look at it . I'm like , Yes , ",580.092,580.272,0.18000000000006366,spk_0,74.0,"[0.9, 0.8989, 0.9174, 0.3551, 0.5721, 0.5549, 0.8926, 0.9565, 0.7036, 0.9975, 1.0, 0.7931, nan, 0.9544, 0.9683, 0.9517, 1.0, 1.0, nan, 0.633, 0.9992, 0.9868, 0.9846, 0.9641, nan, 0.3153, 0.6338, 0.4309, 1.0, 1.0, 0.6731, 0.9993, 1.0, 0.7891, 0.5608, 0.3142, 0.9785, 1.0, 1.0, 1.0, 1.0, 1.0, 0.555, nan, 0.9999, 0.999, nan, 0.7377, 0.5359, 0.4415, nan, 0.9999, 0.9935, nan, 0.7947, nan, 0.9985, nan, 0.9311, 0.5741, nan, 0.4476, nan, 0.571, nan, 0.4844, 0.5288, 0.491, 0.7838, nan, 0.6046, 1.0, 1.0, 1.0, 0.9693, 0.3864, 0.4214, 0.9889, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9996, nan, 0.7122, 0.9682, nan, 0.7344, nan]",0.8152864864864866,0.3142,201811080901-584135-22956_,"['OROVILLE', 'NORD']",CA,Chico_Paradise_Fire__CalFire,FIRE,"[-121.5600132, -121.9549057]","[39.4954747, 39.7737878]","['OROVILLE', 'NORD']",oroville engine can t afford in eighty one just takes that second call we have a property owner i live across the street they will come back after and thirty three years early about numbers one five zero five five fifty fifty five anyone cancels what forty four thirty forty forty five help oroville you re coming with us nord came out of the katya photo to get a better look at it i m like yes,0,0,2018-11-08 07:10:40-08:00,2018-11-08 07:10:40-08:00
"hundred eighty three friends just above a community of holding now heading directly towards home plate . And just one sixty one OROVILLE . You're cutting in and out of copies . Just pulled ahead in first contact with the rapid rate of spread . Two , three hundred . Here . I want ",628.587,629.057,0.4700000000000273,spk_1,84.0,"[1.0, 0.9905, 0.9974, 0.4864, 0.5816, 0.9781, 0.858, 1.0, 0.9876, 0.4704, 0.9456, 1.0, 0.2882, 0.9463, 0.6296, 0.5095, nan, 0.7181, 0.8869, 0.8548, 0.9498, 0.9966, 0.9928, nan, 0.894, 0.4804, 1.0, 1.0, 0.9988, 0.6142, 0.4466, nan, 0.9988, 0.4892, 0.4048, 0.3907, 0.4151, 0.7446, 0.9997, 0.9452, 1.0, 1.0, 1.0, 1.0, nan, 0.7226, nan, 0.9996, 0.9986, nan, 0.9645, nan, 0.5536, 0.3906]",0.7982936170212768,0.2882,201811080901-584135-22956_,['OROVILLE'],CA,Chico_Paradise_Fire__CalFire,FIRE,[-121.5600132],[39.4954747],['OROVILLE'],hundred eighty three friends just above a community of holding now heading directly towards home plate and just one sixty one oroville you re cutting in and out of copies just pulled ahead in first contact with the rapid rate of spread two three hundred here i want,0,0,2018-11-08 07:11:28-08:00,2018-11-08 07:11:29-08:00
to do this . ,632.897,633.177,0.2799999999999727,spk_3,86.0,"[0.7691, 0.8575, 0.8141, nan]",0.8135666666666667,0.7691,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],to do this,0,0,2018-11-08 07:11:32-08:00,2018-11-08 07:11:33-08:00
way RICHVALE four seven three Virginia Cancel Really ,839.802,840.502,0.6999999999999318,spk_4,32.0,"[0.6208, 0.3795, 0.8483, 0.8618, 0.7633, 0.8412, 0.5696, 0.5416]",0.6782625,0.3795,201811080858-659667-24574_,['RICHVALE'],CA,Oroville_Fire,FIRE,[-121.7507688],[39.4937385],['RICHVALE'],way richvale four seven three virginia cancel really,0,0,2018-11-08 07:11:59-08:00,2018-11-08 07:12:00-08:00
"OROVILLE Transport , OROVILLE Transit Transport ",875.282,875.832,0.5499999999999545,spk_1,36.0,"[0.8865, 0.4831, nan, 0.4799, 0.4755, 0.834]",0.6317999999999999,0.4755,201811080858-659667-24574_,['OROVILLE'],CA,Oroville_Fire,FIRE,[-121.5600132],[39.4954747],['OROVILLE'],oroville transport oroville transit transport,0,0,2018-11-08 07:12:35-08:00,2018-11-08 07:12:35-08:00
"One . Eighty multiple units transmitting twenty one twenty one multiple units translate to receive your traffic . Do you still twenty one . Forty one other unit with traffic or else Transport authority's en route for you , ",731.932,732.072,0.13999999999998636,spk_6,98.0,"[0.4246, nan, 0.3739, 0.539, 0.7101, 0.6439, 0.9795, 0.9645, 0.8461, 0.963, 1.0, 0.9842, 0.2255, 0.9023, 0.4834, 0.9977, 0.9879, nan, 0.7326, 0.5951, 0.249, 1.0, 0.9956, nan, 1.0, 0.9982, 0.7356, 0.5756, 0.3337, 0.9501, 0.7771, 0.7771, 0.8894, 0.4022, 0.369, 0.796, 0.5998, 0.5972, nan]",0.7256828571428572,0.2255,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],one eighty multiple units transmitting twenty one twenty one multiple units translate to receive your traffic do you still twenty one forty one other unit with traffic or else transport authority s en route for you,0,0,2018-11-08 07:13:11-08:00,2018-11-08 07:13:12-08:00
BIGGS . ,744.932,745.592,0.6599999999999682,spk_0,99.0,"[0.2006, nan]",0.2006,0.2006,201811080901-584135-22956_,['BIGGS'],CA,Chico_Paradise_Fire__CalFire,FIRE,[-121.7100758],[39.4132906],['BIGGS'],biggs,0,0,2018-11-08 07:13:24-08:00,2018-11-08 07:13:25-08:00
Hopefully ,745.592,748.002,2.409999999999968,spk_3,100.0,[1.0],1.0,1.0,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],hopefully,0,0,2018-11-08 07:13:25-08:00,2018-11-08 07:13:28-08:00
it transmitting and the thirty three years ,751.182,753.902,2.7200000000000273,spk_6,101.0,"[0.6362, 0.914, 0.8982, 0.6382, 0.9992, 0.9455, 0.8352]",0.8380714285714286,0.6362,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],it transmitting and the thirty three years,0,0,2018-11-08 07:13:31-08:00,2018-11-08 07:13:33-08:00
OROVILLE sixteen . Contact One ball . OROVILLE sixteen actually be out with three OROVILLE Club . Still down ,158.06,158.98,0.9199999999999875,spk_2,5.0,"[0.996, 0.6179, nan, 0.8251, 0.4508, 0.2698, nan, 0.9917, 0.8366, 0.9981, 0.9287, 1.0, 1.0, 0.9998, 0.965, 0.4877, nan, 0.9561, 0.9753]",0.8311625,0.2698,201811080911-136992-26936_,['OROVILLE'],CA,Oroville_Police_Fire,BOTH,[-121.5600132],[39.4954747],['OROVILLE'],oroville sixteen contact one ball oroville sixteen actually be out with three oroville club still down,0,0,2018-11-08 07:13:38-08:00,2018-11-08 07:13:38-08:00
there . Working on it right now . ,160.62,164.3,3.680000000000007,spk_0,6.0,"[0.9544, nan, 1.0, 1.0, 1.0, 1.0, 1.0, nan]",0.9924,0.9544,201811080911-136992-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],there working on it right now,0,0,2018-11-08 07:13:40-08:00,2018-11-08 07:13:44-08:00
"OROVILLE in three years and things of structure built . Actually , we're turning back . ",762.202,764.062,1.8600000000000136,spk_3,103.0,"[0.9923, 0.2445, 0.9898, 0.5439, 0.3339, 0.5886, 0.3552, 0.4577, 0.619, nan, 0.7288, nan, 0.1851, 0.5042, 0.9984, nan]",0.5801076923076923,0.1851,201811080901-584135-22956_,['OROVILLE'],CA,Chico_Paradise_Fire__CalFire,FIRE,[-121.5600132],[39.4954747],['OROVILLE'],oroville in three years and things of structure built actually we re turning back,0,0,2018-11-08 07:13:42-08:00,2018-11-08 07:13:44-08:00
"Oh , ",46.55,46.9,0.3500000000000014,spk_2,2.0,"[0.5385, nan]",0.5385,0.5385,201811080913-878163-1929_,[],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[],[],[],oh,0,0,2018-11-08 07:13:46-08:00,2018-11-08 07:13:46-08:00
"God , I have been on that corner ",63.36,64.27,0.9099999999999966,spk_4,6.0,"[0.9489, nan, 0.5362, 0.5774, 0.1238, 0.9925, 0.9391, 0.1856]",0.6147857142857144,0.1238,201811080913-878163-1929_,[],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[],[],[],god i have been on that corner,0,0,2018-11-08 07:14:03-08:00,2018-11-08 07:14:04-08:00
Thirty three thirteen and a half water for twenty five years . ,787.732,788.062,0.3300000000000409,spk_9,106.0,"[0.883, 1.0, 0.9934, 0.8366, 0.2505, 0.2507, 0.997, 0.329, 1.0, 1.0, 0.8709, nan]",0.7646454545454546,0.2505,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],thirty three thirteen and a half water for twenty five years,0,0,2018-11-08 07:14:07-08:00,2018-11-08 07:14:08-08:00
Wanted ,808.242,808.552,0.3100000000000591,spk_3,107.0,[0.1936],0.1936,0.1936,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],wanted,0,0,2018-11-08 07:14:28-08:00,2018-11-08 07:14:28-08:00
